English,Japanese,ChineseSimplified,ChineseTraditional,Turkish,Korean,French,Spanish,German,Thai,Arabic,Czech,Danish,Dutch,Esperanto,Finnish,Hindi,Hungarian,Italian,Klingon,Norwegian,Persian,Polish,Portuguese,Russian,Swedish
blonde action,ストリップ劇場,刚瘪三,剛癟三,götverenlere,에로,fils de pute,Pervertido,porno,,,,,een beurt geven,,munaton,hawas,kurafit,coglione,,,,sraczka,homosexual,styervo,
blonde on blonde action,スラット,包皮,包皮,götverenleri,염병,folle,Pezón,reudig,,,,,een nummertje maken,,mutakuono,hawas ke pujari,kurva,coglioni,,,,srać,inferno,sukin syn,
blowjob,スリット,十三点,十三點,götverenlerin,옘병,foutre,Pinche,rosette,,,,,een wip maken,,mutiainen,hijda,kurvák,cornuto,,,,suka,lésbica,svodit posrat,
blow job,セクシーな,卖B,賣B,kaltağa,유모,gerbe,Pis,schabracke,,,,,eikel,,naida,hijra,kurvákat,cozza,,,,syf,lolita,svoloch,
blow your load,セクシーな 10 代,卖比,賣比,kaltağı,육갑,gerber,Prostituta,schlampe,,,,,engerd,,nainti,jhant,kurvát,culattina,,,,wkurwiać,mama,trakhat'sya,
blue waffle,セックス,卖淫,賣淫,kaltağın,은꼴,gouine,Puta,scheiße,,,,,flamoes,,narttu,jhant chaatu,leggecibb,culattone,,,,zajebisty,merda,trimandoblydskiy pizdoproyob,
blumpkin,ソドミー,卵,卵,kaltak,자위,grande folle,Racista,scheisser,,,,,flikken,,neekeri,jhant ke baal,legkibaszottabb,culo,,,,,paneleiro,ubl'yudok,
bollocks,ちんこ,卵子,卵子,kaltaklar,자지,grogniasse,Ramera,schiesser,,,,,flikker,,nekru,jhantu,legszarabb,di merda,,,,,passar um cheque,uboy,
bondage,ディープ・スロート,双峰微颤,雙峰微顫,kaltaklara,잡년,gueule,Sádico,schnackeln,,,,,gadverdamme,,nuolla persettä,kamine,marha,ditalino,,,,,pau,u'ebitsche,
boner,ディック,口交,口交,kaltaklarda,종간나,jouir,Semen,schwanzlutscher,,,,,galbak,,nussia,kaminey,marhák,duro,,,,,peidar,vafl'a,
boob,ディルド,口肯,口肯,kaltaklardan,좆,la putain de ta mère,Sexo,schwuchtel,,,,,gat,,nussija,kanjar,marhákat,fare unaŠ,,,,,pênis,vafli lovit,
boobs,デートレイプ,叫床,叫床,kaltakları,좆만,MALPT,Sexo oral,tittchen,,,,,gedoogzone,,nussinta,kutta,marhát,fava,,,,,pinto,v pizdu,
booty call,デブ,吃屎,吃屎,kaltakların,죽일년,ménage à trois,Soplagaitas,titten,,,,,geilneef,,paljaalla,kutta kamina,megdöglik,femminuccia,,,,,porra,vyperdysh,
brown showers,テレフォンセックス,后庭,後庭,kaltakta,쥐좆,merde,Soplapollas,vögeln,,,,,gesodemieter,,palli,kutte ki aulad,pele,fica,,,,,puta,vzdrochennyi,
brunette action,ドッグスタイル,吹箫,吹簫,kaltaktan,직촬,merdeuse,Tetas grandes,vollpfosten,,,,,godverdomme,,pallit,kutte ki jat,pelék,figa,,,,,puta que pariu,yeb vas,
bukkake,トップレス,塞你公,塞你公,orospu,짱깨,merdeux,Tía buena,wichse,,,,,graftak,,paneskella,kuttiya,picsa,figlio di buona donna,,,,,puta que te pariu,za'ebat,
bulldyke,なめ,塞你娘,塞你娘,orospuda,쪽바리,meuf,Travesti,wichsen,,,,,gras maaien,,panettaa,loda,picsákat,figlio di puttana,,,,,queca,zaebis,
bullet vibe,ニガー,塞你母,塞你母,orospudan,창녀,nègre,Trio,wichser,,,,,gratenkutg,,panna,lodu,picsát,figone,,,,,sacanagem,zalupa,
bullshit,ヌード,塞你爸,塞你爸,orospular,포르노,nique ta mère,Verga,,,,,,greppeldel,,pano,lund,pina,finocchio,,,,,saco,zalupat,
bung hole,ネオ・ナチ,塞你老师,塞你老師,orospulara,하드코어,nique ta race,vete a la mierda,,,,,,griet,,pantava,lund choos,pinák,fottere,,,,,torneira,zasranetc,
bunghole,ハードコア,塞你老母,塞你老母,orospularda,호로,palucher,Vulva,,,,,,hoempert,,paska,lund khajoor,pinákat,fottersi,,,,,transar,zassat,
busty,パイパン,处女,處女,orospulardan,화냥년,pédale,,,,,,,hoer,,paskainen,lundtopi,pinát,fracicone,,,,,vai-te foder,zlo'ebuchy,
butt,バイブレーター,外阴,外陰,orospuları,후레아들,pédé,,,,,,,hoerenbuurt,,paskamainen,lundure,pofa,fregna,,,,,vai tomar no cu,бардак,
buttcheeks,バック・スタイル,大卵子,大卵子,orospuların,후장,péter,,,,,,,hoerenloper,,paskanmarjat,maa ki chut,pofákat,frocio,,,,,veado,бздёнок,
butthole,パンティー,大卵泡,大卵泡,orospunun,희쭈그리,pipi,,,,,,,hoerig,,paskantaa,maal,pofát,froscio,,,,,vibrador,блядки,
camel toe,ビッチ,大鸡巴,大雞巴,orospuya,,pisser,,,,,,,hol,,paskapuhe,madar chod,pöcs,fuori come un balcone,,,,,xana,блядовать,
camgirl,ファック,奶,奶,orospuyu,,pouffiasse,,,,,,,hufter,,paskapää,mooh mein le,pöcsök,goldone,,,,,xochota,блядство,
camslut,ファンタジー,奶奶的熊,奶奶的熊,otuz birci,,pousse-crotte,,,,,,,huisdealer,,paskattaa,mutth,pöcsöket,grilletto,,,,,,блядь,
camwhore,フィスト,奶子,奶子,otuz bircide,,putain,,,,,,,johny,,paskiainen,najayaz,pöcsöt,guanto,,,,,,бугор,
carpet muncher,フェティッシュ,奸,姦,otuz birciden,,pute,,,,,,,kanen,,paskoa,najayaz aulaad,punci,guardone,,,,,,во пизду,
carpetmuncher,フェラチオ,奸你,姦你,otuz birciler,,ramoner,,,,,,,kettingzeugg,,pehko,najayaz paidaish,puncik,incazzarsi,,,,,,встать раком,
chocolate rosebuds,ふたなり,她妈地,她媽地,otuz bircilerde,,sac à merde,,,,,,,klaarkomen,,pentele,paki,segg,incoglionirsi,,,,,,выёбываться,
circlejerk,ぶっかけ,她妈的,她媽的,otuz bircilerden,,salaud,,,,,,,klerebeer,,perkele,pataka,seggek,ingoio,,,,,,гандон,
cleveland steamer,フック,她马的,她馬的,otuz bircilere,,salope,,,,,,,klojo,,perkeleesti,patakha,seggeket,l'arte bolognese,,,,,,говно,
clit,プリンス アルバート ピアス,妈B,媽B,otuz bircileri,,suce,,,,,,,klooien,,persaukinen,raand,segget,leccaculo,,,,,,говнюк,
clitoris,プレイボーイ,妈个B,媽個B,otuz bircilerin,,tapette,,,,,,,klootjesvolk,,perse,randi,seggfej,lecchino,,,,,,голый,
clover clamps,ベアバック,妈个比,媽個比,otuz bircinin,,teuf,,,,,,,klootoog,,perseennuolija,saala,seggfejek,lofare,,,,,,дать пизды,
clusterfuck,ペニス,妈个老比,媽個老比,otuz birciye,,tringler,,,,,,,klootzak,,perseet olalla,saala kutta,seggfejeket,loffa,,,,,,дерьмо,
cock,ペニスバンド,妈妈的,媽媽的,otuz birciyi,,trique,,,,,,,kloten,,persereikä,saali kutti,seggfejet,loffare,,,,,,дрочить,
cocks,ボーイズラブ,妈比,媽比,saksocu,,trou du cul,,,,,,,knor,,perseääliö,saali randi,szajha,lumaca,,,,,,другой дразнится,
coprolagnia,ボールギャグ,妈的,媽的,saksocuda,,turlute,,,,,,,kontg,,persläpi,suar,szajhák,manico,,,,,,ёбарь,
coprophilia,ボールを蹴る,妈的B,媽的B,saksocudan,,veuve,,,,,,,kontneuken,,perspano,suar ki aulad,szajhákat,mannaggia,,,,,,ебать,
cornhole,ぽっちゃり,妈逼,媽逼,saksocular,,zigounette,,,,,,,krentekakker,,persvako,tatte,szajhát,merda,,,,,,ебать-копать,
coon,ホモ,妓,妓,saksoculara,,zizi,,,,,,,kut,,pilkunnussija,tatti,szar,merdata,,,,,,ебло,
coons,ポルノ,妓女,妓女,saksocularda,,,,,,,,,kuttelikkertje,,pillu,teri maa ka bhosada,szarabb,merdoso,,,,,,ебнуть,
creampie,ポルノグラフィー,妓院,妓院,saksoculardan,,,,,,,,,kwakkieg,,pillut,teri maa ka boba chusu,szarik,mignotta,,,,,,ёб твою мать,
cum,ボンテージ,妳她妈的,妳她媽的,saksocuları,,,,,,,,,liefdesgrot,,pipari,teri maa ki chut,szarok,minchia,,,,,,жопа,
cumming,マザー・ファッカー,妳妈的,妳媽的,saksocuların,,,,,,,,,lul,,piru,tharak,szarokat,minchione,,,,,,жополиз,
cunnilingus,マスターベーション,妳娘的,妳娘的,saksocunun,,,,,,,,,lul-de-behanger,,pistää,tharki,szart,mona,,,,,,играть на кожаной флейте,
cunt,まんこ,妳老母的,妳老母的,saksocuya,,,,,,,,,lulhannes,,pyllyvako,,,monta,,,,,,измудохать,
darkie,やおい,妳马的,妳馬的,saksocuyu,,,,,,,,,lummel,,reikä,,,montare,,,,,,каждый дрочит как он хочет,
date rape,やりまん,姘头,姘頭,sıçmak,,,,,,,,,mafketel,,reva,,,mussa,,,,,,какая разница,
daterape,ユダヤ人,姣西,姣西,sik,,,,,,,,,matennaaierg,,ripsipiirakka,,,nave scuola,,,,,,как два пальца обоссать,
deep throat,ラティーナ,姦,姦,sike,,,,,,,,,matje,,runkata,,,nerchia,,,,,,курите мою трубку,
deepthroat,ラバー,娘个比,娘個比,siker sikmez,,,,,,,,,mof,,runkkari,,,nudo,,,,,,лысого в кулаке гонять,
dendrophilia,ランジェリー,娘的,娘的,siki,,,,,,,,,mutsg,,runkkaus,,,padulo,,,,,,малофя,
dick,レイプ,婊子,婊子,sikilir sikilmez,,,,,,,,,naaien,,runkku,,,palle,,,,,,манда,
dildo,レズビアン,婊子养的,婊子養的,sikin,,,,,,,,,naakt,,ryssä,,,palloso,,,,,,мандавошка,
dingleberry,ローター,嫖娼,嫖娼,sikler,,,,,,,,,neuken,,rättipää,,,patacca,,,,,,мент,
dingleberries,ロリータ,嫖客,嫖客,siklerde,,,,,,,,,neukstier,,saatanasti,,,patonza,,,,,,муда,
dirty pillows,淫乱,它妈地,它媽地,siklerden,,,,,,,,,nicht,,suklaaosasto,,,pecorina,,,,,,мудило,
dirty sanchez,陰毛,它妈的,它媽的,siklere,,,,,,,,,oetlul,,tavara,,,pesce,,,,,,мудозмон,
doggie style,革抑制,密洞,密洞,sikleri,,,,,,,,,opgeilen,,toosa,,,picio,,,,,,наебать,
doggiestyle,騎上位,射你,射你,siklerin,,,,,,,,,opkankeren,,tuhkaluukku,,,pincare,,,,,,наебениться,
doggy style,巨根,射精,射精,sikmek,,,,,,,,,oprotten,,tumputtaa,,,pipa,,,,,,наебнуться,
doggystyle,巨乳,小乳头,小乳頭,sikmemek,,,,,,,,,opsodemieteren,,turpasauna,,,pipì,,,,,,на фиг,
dog style,強姦犯,小卵子,小卵子,sikte,,,,,,,,,op z'n hondjes,,tussu,,,pippone,,,,,,на хуй,
dolcett,玉なめ,小卵泡,小卵泡,sikten,,,,,,,,,op z'n sodemieter geven,,tussukka,,,pirla,,,,,,на хую вертеть,
domination,玉舐め,小瘪三,小癟三,siktir,,,,,,,,,opzouten,,tussut,,,pisciare,,,,,,на хуя,
dominatrix,緊縛,小肉粒,小肉粒,siktirir siktirmez,,,,,,,,,ouwehoer,,vakipano,,,piscio,,,,,,нахуячиться,
dommes,近親相姦,小骚比,小騷比,taşağa,,,,,,,,,ouwehoeren,,vetää käteen,,,pisello,,,,,,невебенный,
donkey punch,嫌い,小骚货,小騷貨,taşağı,,,,,,,,,ouwe rukker,,viiksi,,,pistola,,,,,,не ебет,
double dong,後背位,小鸡巴,小雞巴,taşağın,,,,,,,,,paal,,vittu,,,pistolotto,,,,,,ни за хуй собачу,
double penetration,合意の性交,小鸡鸡,小雞雞,taşak,,,,,,,,,paardelul,,vittuilla,,,pomiciare,,,,,,ни хуя,
dp action,拷問,屁眼,屁眼,taşaklar,,,,,,,,,palen,,vittuilu,,,pompa,,,,,,обнаженный,
dry hump,殺し方,屁股,屁股,taşaklara,,,,,,,,,penozeg,,vittumainen,,,pompino,,,,,,обоссаться можно,
dvda,殺人事件,屄,屄,taşaklarda,,,,,,,,,piesen,,vittuuntua,,,porca,,,,,,один ебётся,
eat my ass,殺人方法,屌,屌,taşaklardan,,,,,,,,,pijpbekkieg,,vittuuntunut,,,porca madonna,,,,,,опесдол,
ecchi,支配,巨乳,巨乳,taşakları,,,,,,,,,pijpen,,vitun,,,porca miseria,,,,,,офигеть,
ejaculation,児童性虐待,干x娘,幹x娘,taşakların,,,,,,,,,pik,,vitusti,,,porca puttana,,,,,,охуеть,
erotic,自己愛性,干七八,幹七八,taşakta,,,,,,,,,pleurislaaier,,vituttaa,,,porco due,,,,,,охуйтельно,
erotism,射精,干你,幹你,taşaktan,,,,,,,,,poep,,vitutus,,,porco zio,,,,,,половое сношение,
escort,手コキ,干你妈,幹你媽,yarağa,,,,,,,,,poepen,,äpärä,,,potta,,,,,,секс,
eunuch,獣姦,干你娘,幹你娘,yarağı,,,,,,,,,poot,,,,,puppami,,,,,,сиски,
faggot,女の子,干你老母,幹你老母,yarağın,,,,,,,,,portiekslet,,,,,puttana,,,,,,спиздить,
fecal,女王様,干你良,幹你良,yarak,,,,,,,,,pot,,,,,quaglia,,,,,,срать,
felch,女子高生,干妳妈,幹妳媽,yaraklar,,,,,,,,,potverdorie,,,,,recchione,,,,,,ссать,
fellatio,女装,干妳娘,幹妳娘,yaraklara,,,,,,,,,publiciteitsgeil,,,,,regina,,,,,,траxать,
feltch,新しいポルノ,干妳老母,幹妳老母,yaraklarda,,,,,,,,,raaskallen,,,,,rincoglionire,,,,,,ты мне ваньку не валяй,
female squirting,人妻,干妳马,幹妳馬,yaraklardan,,,,,,,,,reet,,,,,rizzarsi,,,,,,фига,
femdom,人種,干您娘,幹您娘,yarakları,,,,,,,,,reetridder,,,,,rompiballe,,,,,,хапать,
figging,性交,干机掰,乾機掰,yarakların,,,,,,,,,"reet trappen, voor zijn",,,,,ruffiano,,,,,,хер с ней,
fingerbang,正常位,干死CS,幹死CS,yarakta,,,,,,,,,remsporeng,,,,,sbattere,,,,,,хер с ним,
fingering,生殖器,干死GM,幹死GM,yaraktan,,,,,,,,,reutelen,,,,,sbattersi,,,,,,хохол,
fisting,精液,干死你,幹死你,,,,,,,,,,rothoer,,,,,sborra,,,,,,хрен,
foot fetish,挿入,干死客服,幹死客服,,,,,,,,,,rotzak,,,,,sborrata,,,,,,хуёво,
footjob,足フェチ,幹,幹,,,,,,,,,,rukhond,,,,,sborrone,,,,,,хуёвый,
frotting,足を広げる,强奸,強姦,,,,,,,,,,rukken,,,,,sbrodolata,,,,,,хуем груши околачивать,
fuck,大陰唇,强奸你,強姦你,,,,,,,,,,schatje,,,,,scopare,,,,,,хуеплет,
fuck buttons,脱衣,性,性,,,,,,,,,,schijt,,,,,scopata,,,,,,хуило,
fuckin,茶色のシャワー,性交,性交,,,,,,,,,,schijten,,,,,scorreggiare,,,,,,хуиней страдать,
fucking,中出し,性器,性器,,,,,,,,,,schoft,,,,,sega,,,,,,хуиня,
fucktards,潮吹き女,性无能,性無能,,,,,,,,,,schuinsmarcheerder,,,,,slinguare,,,,,,хуй,
fudge packer,潮吹き男性,性爱,性愛,,,,,,,,,,shit,,,,,slinguata,,,,,,хуйнуть,
fudgepacker,直腸,情色,情色,,,,,,,,,,slempen,,,,,smandrappata,,,,,,хуй пинать,
futanari,剃毛,想上你,想上你,,,,,,,,,,sletg,,,,,soccia,,,,,,,
gang bang,貞操帯,懆您妈,懆您媽,,,,,,,,,,sletterig,,,,,socmel,,,,,,,
gay sex,奴隷,懆您娘,懆您娘,,,,,,,,,,slik mijn zaad,,,,,sorca,,,,,,,
genitals,二穴,懒8,懶8,,,,,,,,,,snolg,,,,,spagnola,,,,,,,
giant cock,乳首,懒八,懶八,,,,,,,,,,spuiten,,,,,spompinare,,,,,,,
girl on,尿道プレイ,懒叫,懶叫,,,,,,,,,,standje,,,,,sticchio,,,,,,,
girl on top,覗き,懒教,懶教,,,,,,,,,,standje-69g,,,,,stronza,,,,,,,
girls gone wild,売春婦,成人,成人,,,,,,,,,,stoephoer,,,,,stronzata,,,,,,,
goatcx,縛り,我操你祖宗十八代,我操你祖宗十八代,,,,,,,,,,stootje,,,,,stronzo,,,,,,,
goatse,噴出,扒光,扒光,,,,,,,,,,strontg,,,,,succhiami,,,,,,,
